CovrPrice Value,Series,Issue,Publisher,Artist,Cover Price,Release Date,Cover URL
6.00,1963,2,Image Comics,Melinda Gebbie | Stephen R. Bissette,1.95,May 1993,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/33321-5162-37205-1-1963.jpg
3.00,2010,2A,Marvel Comics,,0.75,May 1984,https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/64386-3470-97383-1-2010.jpg
5.00,2020 Force Works,1A,Marvel Comics,Juanan Ramírez,3.99,"Feb 26, 2020",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7259074-01.jpg
4.00,2020 Force Works,1C,Marvel Comics,Juanan Ramírez,3.99,"Feb 26, 2020",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7259074-01.jpg
6.00,2020 Rescue,1A,Marvel Comics,Jacen Burrows,3.99,"Mar 04, 2020",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7266998-01.jpg
6.00,2099 Unlimited,10,Marvel Comics,Bob Fingerman | Gary Erskine,3.95,"Aug 10, 1995",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/2753767-10.jpg
10.00,2099 Unlimited,1B,Marvel Comics,Dwayne Turner,3.95,"May 05, 1993",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/2753760-01.jpg
3.00,"A-Force, Vol. 1",1A,Marvel Comics,,3.99,"May 20, 2015",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/4572718-01.jpg
3.00,A-Next,6,Marvel Comics,,1.99,"Jan 20, 1999",https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/40571-6205-45734-1-a-next.jpg
3.00,A-Next,5A,Marvel Comics,,1.99,"Dec 16, 1998",https://comicvine.gamespot.com/a/uploads/scale_medium/0/4/40531-6205-45678-1-a-next.jpg
4.00,Absolute Batman,1BS,DC Comics,Nick Dragotta,4.99,"Mar 04, 2026",https://comicvine.gamespot.com/a/uploads/scale_medium/6/62444/1549679-6764_400x600.jpg
5.00,Absolute Batman,6L,DC Comics,Nick Dragotta,4.99,"Mar 04, 2026",
5.00,Absolute Batman,7P,DC Comics,Marcos Martín,4.99,"Mar 04, 2026",
35.00,Absolute Batman,9E,DC Comics,Nick Dragotta,5.99,"Jun 11, 2025",
5.00,Absolute Batman,17A,DC Comics,Eric Canete,4.99,"Feb 18, 2026",
6.00,Absolute Batman,15X,DC Comics,Jock | Mark 'Jock' Simpson,4.99,"Feb 11, 2026",
4.00,Absolute Batman,18A,DC Comics,Eric Canete,4.99,"Mar 11, 2026",
9.00,Absolute Batman,18B,DC Comics,Eric Canete,5.99,"Mar 11, 2026",
11.00,Absolute Carnage,1A,Marvel Comics,,7.99,"Aug 07, 2019",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/6990928-01.jpg
5.00,Absolute Carnage,2A,Marvel Comics,,4.99,"Aug 28, 2019",
5.00,Absolute Carnage,2A,Marvel Comics,,4.99,"Aug 28, 2019",
6.00,Absolute Carnage,4B,Marvel Comics,Ryan Stegman,4.99,"Oct 16, 2019",
6.00,Absolute Carnage,4A,Marvel Comics,Ryan Stegman,4.99,"Oct 16, 2019",
5.00,Absolute Carnage,4G,Marvel Comics,Ryan Stegman,4.99,"Oct 16, 2019",
5.00,Absolute Carnage,5J,Marvel Comics,Mark Bagley | Ryan Stegman,4.99,"Nov 20, 2019",
5.00,Absolute Carnage,5E,Marvel Comics,Mark Bagley | Ryan Stegman,4.99,"Nov 20, 2019",
6.00,Absolute Carnage,5C,Marvel Comics,Mark Bagley | Ryan Stegman,4.99,"Nov 20, 2019",
3.00,Absolute Carnage: Avengers,1A,Marvel Comics,Guiu Vilanova | Alberto Jiménez Alburquerque,4.99,"Oct 16, 2019",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7109882-01.jpg
3.00,Absolute Carnage: Captain Marvel,1A,Marvel Comics,,,"Nov 20, 2019",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7153349-01.jpg
4.00,Absolute Carnage: Captain Marvel,1C,Marvel Comics,,,"Nov 20, 2019",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7153349-01.jpg
6.00,Absolute Carnage: Lethal Protectors,1A,Marvel Comics,Flaviano Armentaro,3.99,"Aug 28, 2019",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7054334-01.jpg
9.00,Absolute Carnage: Lethal Protectors,1F,Marvel Comics,Flaviano Armentaro,3.99,"Aug 28, 2019",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7054334-01.jpg
3.00,Absolute Carnage: Lethal Protectors,2A,Marvel Comics,Flaviano Armentaro,3.99,"Sep 18, 2019",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7076068-02.jpg
5.00,Absolute Carnage: Lethal Protectors,3C,Marvel Comics,Flaviano Armentaro,3.99,"Oct 23, 2019",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7116879-03.jpg
2.00,Absolute Carnage: Scream,1A,Marvel Comics,Gerardo Sandoval,3.99,"Aug 14, 2019",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7039233-01.jpg
4.00,Absolute Carnage: Scream,2A,Marvel Comics,,3.99,"Sep 04, 2019",https://comicvine.gamespot.com/a/uploads/scale_medium/6/67663/7060965-02.jpg
